-5.000000 0.000000 
-4.900000 0.001937 
-4.800000 0.003910 
-4.700000 0.005959 
-4.600000 0.008120 
-4.500000 0.010431 
-4.400001 0.012929 
-4.300001 0.015654 
-4.200001 0.018642 
-4.100001 0.021933 
-4.000001 0.025564 
-3.900001 0.029572 
-3.800001 0.033995 
-3.700001 0.038868 
-3.600001 0.044225 
-3.500001 0.050099 
-3.400002 0.056520 
-3.300002 0.063513 
-3.200002 0.071103 
-3.100002 0.079306 
-3.000002 0.088138 
-2.900002 0.097605 
-2.800002 0.107708 
-2.700002 0.118441 
-2.600002 0.129791 
-2.500002 0.141736 
-2.400002 0.154244 
-2.300003 0.167277 
-2.200003 0.180785 
-2.100003 0.194710 
-2.000003 0.208986 
-1.900003 0.223535 
-1.800003 0.238274 
-1.700003 0.253107 
-1.600003 0.267947 
-1.500003 0.282675 
-1.400003 0.297185 
-1.300003 0.311364 
-1.200003 0.325095 
-1.100003 0.338263 
-1.000003 0.350750 
-0.900003 0.362446 
-0.800003 0.373241 
-0.700003 0.383033 
-0.600003 0.391727 
-0.500003 0.399237 
-0.400003 0.405490 
-0.300003 0.410420 
-0.200003 0.413978 
-0.100003 0.416128 
-0.000003 0.416847 
0.099997 0.416128 
0.199997 0.413978 
0.299997 0.410420 
0.399997 0.405490 
0.499997 0.399237 
0.599997 0.391727 
0.699997 0.383033 
0.799998 0.373241 
0.899998 0.362446 
0.999998 0.350750 
1.099998 0.338263 
1.199998 0.325095 
1.299998 0.311364 
1.399998 0.297184 
1.499998 0.282673 
1.599998 0.267946 
1.699998 0.253107 
1.799998 0.238272 
1.899998 0.223532 
1.999998 0.208981 
2.099998 0.194704 
2.199998 0.180777 
2.299998 0.167266 
2.399997 0.154230 
2.499997 0.141718 
2.599997 0.129769 
2.699997 0.118413 
2.799997 0.107673 
2.899997 0.097561 
2.999997 0.088083 
3.099997 0.079238 
3.199997 0.071017 
3.299997 0.063408 
3.399997 0.056389 
3.499996 0.049939 
3.599996 0.044029 
3.699996 0.038629 
3.799996 0.033705 
3.899996 0.029221 
3.999996 0.025140 
4.099996 0.021424 
4.199996 0.018033 
4.299996 0.014927 
4.399996 0.012065 
4.499996 0.009408 
4.599996 0.006913 
4.699996 0.004541 
4.799995 0.002250 
4.899995 0.000000 
